"legacy_id","legacy_customer_id","new_customer_uuid","new_customer_code","new_traveller_uuid","customer_type","deduplicated_to_legacy_id","association_method"
"1863","47565","89604ef8-017e-57d9-bed5-caf013e2c972","LEGACY-47565-1863-B28E768B","","RETAIL","","INDIVIDUAL"
"1864","48982","98c7966c-8e5a-5c00-8b71-6d66118655df","LEGACY-48982-1864-2386F015","","RETAIL","","INDIVIDUAL"
"1865","56924","cf359489-103c-58b0-80ef-78b4778b6a0e","LEGACY-56924-1865-3CDFE349","","RETAIL","","INDIVIDUAL"
"1866","10321","471082b1-03ed-5f22-b83b-349f6cad2a46","LEGACY-10321-1866-4154E9A6","","RETAIL","","INDIVIDUAL"
"1867","56372","bf0f14f5-b32a-50c5-92fd-ef0b49235fd9","LEGACY-56372-1867-9E5ED164","","RETAIL","","INDIVIDUAL"
"1868","61081","69fc1b63-2e18-5b38-9e04-9874c07e010a","LEGACY-61081-1868-3861CAF9","","RETAIL","","INDIVIDUAL"
"1869","79382","50a8f7d7-3f22-577b-9864-858eb0b062e0","LEGACY-79382-1869-2DC8C3E0","","RETAIL","","INDIVIDUAL"
"1870","83494","5f1365d1-cf0d-5e63-a89f-d830b3b04b3b","LEGACY-83494-1870-4E397703","","RETAIL","","INDIVIDUAL"
"1871","55011","2b3e7b68-07b4-5917-abc7-11bf172e6dbd","LEGACY-55011-1871-38B9B765","","RETAIL","","INDIVIDUAL"
"1872","11148","de55e480-5c9c-52fa-b586-cacc89178d66","LEGACY-11148-1872-4CBD344B","","RETAIL","","INDIVIDUAL"
"1873","92068","f7f9911f-055e-563e-b258-6dcb67cf72af","LEGACY-92068-1873-E96EA588","","RETAIL","","INDIVIDUAL"
"1874","73739","207c69dd-a8c0-55bb-9773-cce0faaa841d","LEGACY-73739-1874-99B9FB63","","RETAIL","","INDIVIDUAL"
"1875","45056","c6eb1f7b-c411-5f7d-ace7-ffc762f689a7","LEGACY-45056-1875-4E36D6DA","","RETAIL","","INDIVIDUAL"
"1876","22461","b558c7b4-ed91-5b95-9792-de23406fefff","LEGACY-22461-1876-39DDA83C","","RETAIL","","INDIVIDUAL"
"1877","26219","432fc0ea-a991-5dbc-8af1-c0e63296142c","LEGACY-26219-1877-0017CB1D","","RETAIL","","INDIVIDUAL"
"1878","87167","5f717d84-73d5-5b88-b2af-3ab760da4465","LEGACY-87167-1878-C0175EBC","","RETAIL","","INDIVIDUAL"
"1879","60263","12b076a0-e20b-5bbd-8667-b47a8251b74c","LEGACY-60263-1879-B10D7D28","","RETAIL","","INDIVIDUAL"
"1880","11765","b9f08e5b-d08e-5259-a52d-4ac12c77c0ed","LEGACY-11765-1880-31120102","","RETAIL","","INDIVIDUAL"
"1881","40893","c79f99cb-eff3-52d5-bcae-e6b2a74fe1d7","LEGACY-40893-1881-3261DDA0","","RETAIL","","INDIVIDUAL"
"1882","28472","2556806b-6e74-5174-bec9-a56a81b0e089","LEGACY-28472-1882-5AC3FAA1","","RETAIL","","INDIVIDUAL"
"1883","42737","b2a55375-51d0-5ed3-ab4a-b033fcfd46e9","LEGACY-42737-1883-F566E60F","","RETAIL","","INDIVIDUAL"
"1884","88294","2c019adf-608f-5860-ae05-2b2c666aac90","LEGACY-88294-1884-2FA86596","","RETAIL","","INDIVIDUAL"
"1885","86459","df7a785b-fb93-5041-9c13-fd19e8af56b4","LEGACY-86459-1885-94E7A0B1","","RETAIL","","INDIVIDUAL"
"1886","71398","13e921e8-dccf-5645-837b-f8e8e4eef8ee","LEGACY-71398-1886-0F43042F","","RETAIL","","INDIVIDUAL"
"1887","84514","4996995b-4922-516b-8646-0a2b7cb4ca07","LEGACY-84514-1887-70F3486B","","RETAIL","","INDIVIDUAL"
"1888","63599","c3624e6b-8b1e-5b3c-8036-f14464435ed8","LEGACY-63599-1888-92E3BFC9","","RETAIL","","INDIVIDUAL"
"1889","22327","14db8065-3740-5270-b71d-288f7633d8a0","LEGACY-22327-1889-26E08BD6","","RETAIL","","INDIVIDUAL"
"1890","36951","b99ee51a-d383-5f6d-b538-680c3645c365","LEGACY-36951-1890-1ABD515B","","RETAIL","","INDIVIDUAL"
"1891","80608","b5a38862-bb7d-57b9-8f9e-5128d8430099","LEGACY-80608-1891-BC82D7BC","","RETAIL","","INDIVIDUAL"
"1892","58712","fb7b9f6b-9449-58b6-96b2-245fff12c424","LEGACY-58712-1892-FBA69BAE","","RETAIL","","INDIVIDUAL"
"1893","81939","8d1d64be-7655-5d9d-9df2-3b41f10ea220","LEGACY-81939-1893-11FC24EE","","RETAIL","","INDIVIDUAL"
"1894","97024","1b881b26-2324-5017-a824-03441767ee60","LEGACY-97024-1894-959072C2","","RETAIL","","INDIVIDUAL"
"1895","11984","36c06bd9-aaa3-5111-aa0f-1ac9efba4baa","LEGACY-11984-1895-5B3AA91D","","RETAIL","","INDIVIDUAL"
"1896","52636","55365eab-5258-5522-a5f1-ca0c61219692","LEGACY-52636-1896-D322BF45","","RETAIL","","INDIVIDUAL"
"1897","69842","6b5d8d88-c231-5c97-9a7f-7839685db4e4","LEGACY-69842-1897-76E1AF34","","RETAIL","","INDIVIDUAL"
"1898","59040","72e02b1c-d190-555f-87cc-599099d189e6","LEGACY-59040-1898-A60B1843","","RETAIL","","INDIVIDUAL"
